ABL1
ACVR1
ACVR1B
ACVR2A
AJUBA
AKT1
ALB
ALK
AMER1
APC
APOB
AR
ARAF
ARHGAP35
ARID1A
ARID1B
ARID2
ARID5B
ASXL1
ASXL2
ATF7IP
ATM
ATR
ATRX
ATXN3
AXIN1
AXIN2
B2M
BAP1
BARD1
BCL10
BCL2
BCL2L11
BCL2L12
BCLAF1
BCOR
BLM
BRAF
BRCA1
BRCA2
BRD7
BRE
BRIP1
BTG1
BTG2
BUB1B
C3orf70
CACNA1A
CARD11
CASP8
CBFB
CBL
CBWD3
CCDC6
CCND1
CD70
CD79B
CDC73
CDH1
CDH11
CDK12
CDK4
CDKN1A
CDKN1B
CDKN2A
CDKN2C
CEBPA
CHD3
CHD4
CHD8
CHEK2
CIC
CNBD1
COL5A1
CREB3L3
CREBBP
CRLF2
CSDE1
CSF1R
CSF3R
CSMD3
CTCF
CTNNB1
CTNND1
CUL1
CUL3
CUX1
CYLD
CYSLTR2
DACH1
DAXX
DAZAP1
DDB2
DDX3X
DDX5
DHX9
DIAPH2
DICER1
DIS3
DMD
DNER
DNMT3A
EED
EEF1A1
EEF2
EGFR
EGR3
EIF1AX
EIF2S2
EIF4A2
ELF3
EP300
EPAS1
EPHA2
EPHA3
ERBB2
ERBB3
ERBB4
ERCC2
ERCC3
ERCC4
ERCC5
ESR1
EXT1
EXT2
EZH2
EZR
FAM46C
FAM46D
FANCA
FANCC
FANCD2
FANCE
FANCG
FAS
FAT1
FBXW7
FEN1
FGFR1
FGFR2
FGFR3
FH
FLG
