FLNA
FLT3
FOXA1
FOXA2
FOXL2
FOXQ1
FUBP1
GABRA6
GATA1
GATA2
GATA3
GNA11
GNA13
GNAQ
GNAS
GNPTAB
GPS2
GRIN2D
GTF2I
H3F3A
H3F3C
HGF
HIST1H1C
HIST1H1E
HIST1H3B
HLA-A
HLA-B
HNF1A
HRAS
HSP90AB1
HUWE1
ID3
IDH1
IDH2
IL6ST
IL7R
ING1
INPPL1
IRF2
IRF4
IRF6
JAK1
JAK2
JAK3
KANSL1
KDM5C
KDM6A
KEAP1
KEL
KIF1A
KIT
KLF4
KLF5
KMT2A
KMT2B
KMT2C
KMT2D
KRAS
KRT222
LATS1
LATS2
LEMD2
LIFR
LRP1B
LZTR1
MACF1
MALAT1
MAP2K1
MAP2K4
MAP3K1
MAP3K4
MAPK1
MAX
MB21D2
MECOM
MED12
MED23
MEN1
MET
MGA
MGMT
MLH1
MLL2
MLL3
MLL4
MLLT4
MPL
MSH2
MSH3
MSH6
MTOR
MUC16
MUC17
MUC4
MUC6
MUTYH
MYB
MYC
MYCN
MYD88
MYH9
NBN
NCOA2
NCOR1
NF1
NF2
NFE2L2
NFE2L3
NIPBL
NOTCH1
NOTCH2
NPM1
NRAS
NSD1
NUP133
NUP93
OR5L2
P2RY8
PALB2
PAX5
PBRM1
PCBP1
PDGFRA
PDS5B
PGR
PHF6
PHOX2B
PIK3CA
PIK3CB
PIK3CG
PIK3R1
PIK3R2
PIM1
PLCB4
PLCG1
PLXNB2
PMS1
PMS2
POLD1
POLE
POLQ
POLRMT
POT1
POU2AF1
PPM1D
PPP2R1A
PPP6C
PRDM1
PRKACA
PRKAR1A
PRKCI
PSIP1
PTCH1
PTEN
PTMA
PTPDC1
PTPN11
PTPRC
PTPRD
PTPRK
QKI
RAC1
RAD21
RAF1
RARA
RASA1
RB1
RBM10
RECQL4
RET
RFC1
RHEB
RHOA
RHOB
RIT1
RNF111
RNF43
RPL22
RPL5
RPS6KA3
RQCD1
RRAS2
RSPO2
RUNX1
RXRA
SBDS
SCAF4
SDHA
SDHB
SDHC
SDHD
SETBP1
SETD2
SETDB1
SF1
SF3B1
SGK1
SH2B3
SIN3A
SMAD2
SMAD3
SMAD4
SMARCA1
SMARCA4
SMARCB1
SMARCE1
SMC1A
SMC3
SMO
SOCS1
SOS1
SOX17
SOX9
SPEN
SPOP
SPTA1
SPTAN1
SRC
SRSF2
STAG2
STK11
TAF1
TBL1XR1
TBX3
TCEB1
TCF12
TCF7L2
TET2
TGFBR2
TGIF1
THRAP3
TLR4
TMEM127
TMEM30A
TMSB4X
TNFAIP3
TNFRSF14
TP53
TP53BP1
TRAF3
TRAF7
TRIP12
TRRAP
TSC1
TSC2
TSHR
TTN
TXNIP
U2AF1
UNCX
USP28
USP9X
VHL
WHSC1
WRN
WT1
XPA
XPC
XPO1
ZBTB20
ZBTB7B
ZC3H12A
ZC3H13
ZCCHC12
ZFHX3
ZFP36L1
ZFP36L2
ZMYM2
ZMYM3
ZNF133
